0xef99a2f6062912044e9ccbf7323cb0a05e27d04444650f821bb281a6a1ae4848, 1564761835, USDC, 4895.910030941206, WBTC, 0.44
0xebc9212f812f5e581f9880435f8bb21f92fa3f91953331ddb43f6f34f53060a7, 1565116421, SAI, 6.1903787116149855, WBTC, 0.00050029
0xc0ed1d45d122dd4db535a62acc3d0191393d12a0c296ed6cf0892a87bdc25b78, 1565131372, SAI, 6.012096764609203, WBTC, 0.00050029
0x5bbc29cdeed2fb19ac5393ec5bf41d9f7706afe45e5a1e3da7778409fabd471b, 1566763273, SAI, 39.40221859526371, WBTC, 0.00370002
0x62305c1eb4d9120a4952a8843d683498820ebce1e77971bbcc4a7de3b564545f, 1566779803, SAI, 24.110660036865738, WBTC, 0.00218858
0x3815d6ac35424fff409fc8268f4acb642e903d9f2759aa538e3dc140a032e8d4, 1567444162, SAI, 14.500641574299069, WBTC, 0.00139668
0x55258ff5c9716d4a879202091834313091b152a25d067611d5f439e81be45bf8, 1571353877, SAI, 0.2504927936389731, WBTC, 0.00002995
0x2a558175e45e2a0c9892e0097806be93dd3dc450db6331540ea11a17cbd66199, 1571395762, ETH, 0.0000033898419661319962, WBTC, 7e-8
0x9a3ea4a399ae90001708bf87655ba3831d443b6763936843f6bfe636d7fe85c2, 1572054205, SAI, 4388.21264297621, WBTC, 0.42866229
0x29be024feda7ab82719f3b274b2501d3da3720ba58dbeae27d91d27b3cbb7924, 1572395945, SAI, 2.4672136190748697, WBTC, 0.00025
0xc56bde60cba16b659ffe0d75409c4854956a6512e369392f336304249b9b8840, 1573443890, ETH, 0.551202702341645, WBTC, 0.01100568
0xfa92b919b37e06e780af7b008279d44e972f637440520d544f5d06b291d1ad33, 1573518398, ETH, 0.24529137025634956, WBTC, 0.00495436
0xfed573f73d8f600ecc9aaee5a6357d1bd980c5d6c35841551dcbdf8503964352, 1574044301, ZRX, 87.60975078978355, WBTC, 0.00272799
0xae920e1a5961258e6edd100ee91815e8be49f8f6782e1aa38af72b728271a051, 1574384793, ZRX, 51.677019046075834, WBTC, 0.00166838
0x18a77a60133ef1647a123fdee659458f544aeece9308abc8d6defdc2a9709a72, 1574875585, BAT, 31.769101678659663, WBTC, 0.00083511
0x48fa8ec68ff42afc75403faf243dc7273a825afb145a6be013b0010b3613bae4, 1574875585, ETH, 5.112732201323338e-7, WBTC, 1e-8
0x658f53fbc28b1bd4f9713461510058693db271eda7f91be6cce0f6a19487048f, 1575373773, BAT, 16.653565974088323, WBTC, 0.00041799
0x9aace24f5e6d9f58acad3625400452c67bd928fe108f44606fc53406bb1ace48, 1576877979, ETH, 0.029572050277572287, WBTC, 0.0005
0x96158c1d0bb0dd402b85d52f837a2b2b1d63da7cbd80f8f5d194267742a59d1a, 1577148655, ETH, 0.018484614288058535, WBTC, 0.00030765
0x511d67d265d853281b7b01f45195865ffc3446b840a5284c2e5988fe3d869027, 1577399181, ETH, 0.000002986428272156214, WBTC, 5e-8
0x2ae924c8a589993b72d1fa2dbdc97100151e4e4b15a859812905193b5707d02d, 1578459980, DAI, 0.004390935900070921, WBTC, 4.9e-7
0x43a64a49e10d88b579322f49d7972c29173b63e7b2350d0eed38f6b65d5cf32a, 1578683498, BAT, 0.011366528154609508, WBTC, 2.5e-7
0x7b869161f31581d8f4a7e6a71aa8d2a0fd1293adbd6164ca2a347100cad402e6, 1578723384, BAT, 0.005443614567965683, WBTC, 1.2e-7
0x07fb2847d243c7b99269ec5c08aa8e0e858a3a8367b84e5f2e78cf71d1760a71, 1578769589, SAI, 0.40064096937546545, WBTC, 0.00004714
0x54675006cb0cec2232d9de5ce273e0498de8dbebc20dda04878814e4764ff926, 1578784557, SAI, 0.007061368049769895, WBTC, 8.3e-7
0x5638e1adf91fbdc8d2f859727dc97faea69849be1a96383e16a707e7e9d9ff55, 1578784563, SAI, 0.007061368149557471, WBTC, 8.3e-7
0xfa040ff2b646cedec03329aa88aec0cb4f646203a7c0bfdd4f3e519a5e281aff, 1579099667, SAI, 1.8187256623964394, WBTC, 0.00019355
0xca2d470b307421212648d0c8c3d6de350375581077d188f1635a7e8bef60bd10, 1579143341, BAT, 1.1102120426629658, WBTC, 0.00002594
0x461d84092c8a749f51707eb1f297d9ecd3be6a46a52b880a33e350976a41eb5b, 1579793011, BAT, 8.47684112246023, WBTC, 0.0001978
0x9e13ae931283e601c9db6ea2ae3fb3309d6e183169cc04dec5c9d01692d1af06, 1580328923, ETH, 0.02290354417841338, WBTC, 0.00040915
0x5f1838cc40750a505a983e89e54825881a7591681aec7beba1d3bdfdde031df0, 1580481862, DAI, 1264.4992761647904, WBTC, 0.12899941
0xef8333af845035ab9dd6df78f4fdfb15aab102c8c81f3150992dacc94583713f, 1580502275, ETH, 4.119638358643528, WBTC, 0.07556397
0x92f160c36cb11ad635035ff1c07e26743f5fa5f7bfa562fdacae1bf2dc952200, 1580541170, DAI, 1071.007690527606, WBTC, 0.10902171
0xdcd8919f6e7bb91a2c6e1d97ff66e5804be915fe10d5dc5bc23a495a885d32cb, 1580586410, ETH, 8.141298127384784, WBTC, 0.15091059
0xec455cd0b4230a7e0a304ef7d17a18d3fa86a87844b823b52d896966c3dc6f2a, 1580871412, SAI, 0.24835624561822225, WBTC, 0.00002603
0xae72712b3b97523b28a19fdaa50a266b66a1c90e216cee2a4dd99feff81cfbda, 1580876021, SAI, 0.12417969086240613, WBTC, 0.00001302
0x92390e798451a08f976c84216b2cf54a79e594c36265dce4ffa84e6c12735a81, 1580931246, SAI, 0.1550216198396239, WBTC, 0.0000153
0xd24badd414ee5bb5946e6ef9774ec96be031636294968c55d83f01c463565db4, 1581347686, DAI, 315.4719267805364, WBTC, 0.03004831
0xb13ac38ac1d046f903160c76374a9d3755d4cede90fee146d04db3ad52ac4823, 1581441226, DAI, 195.46221023493146, WBTC, 0.01794061
0xe6a87075b1c6082672cd8e3e2201b9cd4dc974a862550fd1266f69234788202f, 1581512794, SAI, 3.324510333018219, WBTC, 0.00030447
0x1f917f439304e7ceb67dd3ad7dc9576955a73d6d405e01b3192fce953f1fe4d6, 1581525513, DAI, 18.558542763217993, WBTC, 0.00169072
0x7cd6b0e549f640e4632ad3dfef35cc507bfdec4e8f3d00807aed3a0ba0e85a0b, 1581725513, DAI, 366.6904773068001, WBTC, 0.03355626
0x0bd53c805fad98bc7c942d95ed42659a2eda0d049818019c743856b974e093cb, 1581870081, ETH, 32.33519219045437, WBTC, 0.79852527
0x0d05fa0f77b09f0aa341849a2c4dab023d8e5a9cfaa50811ce24b02061eea13f, 1581871306, ETH, 412.2301902581654, WBTC, 10.06489252
0x23863bba9bb5f244ab06e27641db0f481d3dbc7210461fdc9352f94ca9e9c1ad, 1581872122, ETH, 22.113328631535484, WBTC, 0.51892577
0x5b2ac597b6bbb2d3595081edddfccce43145f101355be36d29718fc9db453509, 1581872122, ETH, 15.672793138329704, WBTC, 0.36778797
0xd07cc33b5e582ca3908b8eaa7d64715bff5f09abfe76de1ff659da4e1ce9ad92, 1581872128, ETH, 11.117637864414608, WBTC, 0.26089373
0xf4a89c00c1d4172e386343ed64f47fa1ec6d005e9fce7208426aba0fe243c628, 1581872128, ETH, 7.879621100343922, WBTC, 0.18490832
0xb55e30263e3900322d25be8352637adbe75f5a86a194b39b4b76bfdbbf8a3343, 1581872128, ETH, 5.5846813782251505, WBTC, 0.13105377
0x113e8418cda0ae3b070f4019a2b5753dab5d892c7fd6a9ae80d808ac17893699, 1581872128, ETH, 3.958142948608223, WBTC, 0.09288436
0x39bf789233707306932957da0b1af822134086391af342b7e1a746ee28814e7d, 1581872128, ETH, 2.8053338084354422, WBTC, 0.06583179
0xe67b99f841f1a130c253f5fbb876b7fd1ea4c554392bf30a37308513045070a5, 1581872141, ETH, 1.9882802871064271, WBTC, 0.04665828
0x0d93fa3816e69ab3e798401906d9aa4b3de9163ea18b117f8fa0a8cd380c6109, 1581872141, ETH, 1.4091870079233975, WBTC, 0.0330689
0xec25632a6f6e03881957a5862763fff1b7f2aaaf4014f7fc0e8789dafe027688, 1581872141, ETH, 0.9987611693395005, WBTC, 0.02343758
0xaf1e9280765ab4da5443a2741759b37a5bf7c672b13eab88127a5885584b4c00, 1581872189, ETH, 0.707871773129198, WBTC, 0.01661138
0x9ebf04c9d7e7b3f547092ab77c12d8366af07cc9f0d98e06e95aa18ff081c7a1, 1581872189, ETH, 0.5016893929640384, WBTC, 0.01177297
0x774b16260df1594d6a1b7c2dab6eee4702602352467423e61ffe481a3612b013, 1581872189, ETH, 0.35557225122268377, WBTC, 0.00834409
0xe20e91fad25aae1431571038f865e6815fcd296808948bd5700bdaed355b5eb5, 1581872189, ETH, 0.2520120977381608, WBTC, 0.00591388
0xc574aba04eb38e5fd0fb60f32c0b9faeab6e2c4ca76aafb9253fa77f409dc45a, 1581872196, ETH, 0.1786134699154261, WBTC, 0.00419146
0xe75572f8133623cfbd5ec96403bdc9f53b1c49fbbff84cddc5aab8a3b6a518ae, 1581872218, ETH, 639.2049665869441, WBTC, 15
0x221d921ee3e3bdd94c839e6c4883b13fd615c9ace2c4c9a7c896233e08a96dfb, 1581901543, DAI, 172.37118436962865, WBTC, 0.01643245
0xdef346665feec68535e53984aef4c8e37865c1ffe47e6397818afdff5b2e0926, 1581921445, DAI, 185.06720228828652, WBTC, 0.01787892
0xa63c60dc77006b856a38f3f0e9d7090e635d112f156854da5e0149904aa43d7a, 1581938459, DAI, 142.47026193775343, WBTC, 0.01378777
